file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,1,1,0,0,12.357,module=1;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,219.490,module=1.25;sym-CODE_128;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,1,1,0,0,19.630,module=1.5;sym-CODE_128;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,18.568,module=1.75;sym-CODE_128;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,11.296,module=2;sym-CODE_128;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,3.597,module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,2.231,module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,2.470,module=2.75;sym-CODE_128;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,2.422,module=3;sym-CODE_128;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,2.334,module=3.25;sym-CODE_128;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,2.056,module=3.5;sym-CODE_128;modpx-3.50;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,2.196,module=3.75;sym-CODE_128;modpx-3.75;img-ok
sw_module-4_1,2stage,1,1,1,0,0,3.381,module=4;sym-CODE_128;modpx-4.00;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,2.746,module=4.25;sym-CODE_128;modpx-4.25;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,1.838,module=4.5;sym-CODE_128;modpx-4.50;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,2.037,module=4.75;sym-CODE_128;modpx-4.75;img-ok
sw_module-5_1,2stage,1,1,1,0,0,2.200,module=5;sym-CODE_128;modpx-5.00;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,2.115,module=5.25;sym-CODE_128;modpx-5.25;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,3.658,module=5.5;sym-CODE_128;modpx-5.50;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,2.129,module=5.75;sym-CODE_128;modpx-5.75;img-ok
sw_module-6_1,2stage,1,1,1,0,0,4.038,module=6;sym-CODE_128;modpx-5.89;img-ok
