file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_count-1_module-1.5_1,2stage,1,0,0,0,0,145.748,count=1;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-2_module-1.5_2,2stage,2,0,0,0,0,116.407,count=2;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-3_module-1.5_3,2stage,3,1,1,0,0,172.005,count=3;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-4_module-1.5_4,2stage,4,3,3,0,0,231.604,count=4;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-5_module-1.5_5,2stage,5,3,3,0,0,121.860,count=5;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-6_module-1.5_6,2stage,6,4,4,0,0,123.829,count=6;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-7_module-1.5_7,2stage,7,0,0,0,0,172.675,count=7;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-8_module-1.5_8,2stage,8,2,2,0,0,175.743,count=8;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-9_module-1.5_9,2stage,9,1,1,0,0,221.870,count=9;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-10_module-1.5_10,2stage,10,0,0,0,0,200.884,count=10;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-11_module-1.5_11,2stage,11,0,0,0,0,203.719,count=11;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-12_module-1.5_12,2stage,12,2,2,0,0,155.958,count=12;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-13_module-1.5_13,2stage,13,13,13,0,0,29.861,count=13;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-14_module-1.5_14,2stage,14,14,14,0,0,30.177,count=14;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-15_module-1.5_15,2stage,15,15,15,0,0,34.536,count=15;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-16_module-1.5_16,2stage,16,16,16,0,0,37.615,count=16;module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_count-1_module-2_1,2stage,1,1,1,0,0,5.747,count=1;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-2_module-2_2,2stage,2,2,2,0,0,11.593,count=2;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-3_module-2_3,2stage,3,3,3,0,0,9.417,count=3;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-4_module-2_4,2stage,4,4,4,0,0,25.221,count=4;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-5_module-2_5,2stage,5,5,5,0,0,18.581,count=5;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-6_module-2_6,2stage,6,6,6,0,0,16.496,count=6;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-7_module-2_7,2stage,7,7,7,0,0,14.990,count=7;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-8_module-2_8,2stage,8,8,8,0,0,16.720,count=8;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-9_module-2_9,2stage,9,9,9,0,0,20.124,count=9;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-10_module-2_10,2stage,10,10,10,0,0,20.628,count=10;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-11_module-2_11,2stage,11,11,11,0,0,23.093,count=11;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-12_module-2_12,2stage,12,12,12,0,0,22.351,count=12;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-13_module-2_13,2stage,13,13,13,0,0,30.106,count=13;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-14_module-2_14,2stage,14,14,14,0,0,27.097,count=14;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-15_module-2_15,2stage,15,15,15,0,0,27.903,count=15;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-16_module-2_16,2stage,16,16,16,0,0,30.134,count=16;module=2;sym-PDF417;modpx-2.00;img-ok
sw_count-1_module-2.5_1,2stage,1,1,1,0,0,16.141,count=1;module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_count-2_module-2.5_2,2stage,2,2,2,0,0,22.783,count=2;module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_count-3_module-2.5_3,2stage,3,3,3,0,0,34.279,count=3;module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_count-4_module-2.5_4,2stage,4,4,4,0,0,33.447,count=4;module=2.5;sym-PDF417;modpx-2.50;img-ok
