file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,308.484,module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,137.383,module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,0,0,0,0,121.813,module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,56.259,module=1.75;sym-QR_CODE;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,17.170,module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,7.106,module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,5.780,module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,6.174,module=2.75;sym-QR_CODE;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,16.602,module=3;sym-QR_CODE;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,10.411,module=3.25;sym-QR_CODE;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,10.325,module=3.5;sym-QR_CODE;modpx-3.50;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,14.876,module=3.75;sym-QR_CODE;modpx-3.75;img-ok
sw_module-4_1,2stage,1,1,1,0,0,8.284,module=4;sym-QR_CODE;modpx-4.00;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,7.786,module=4.25;sym-QR_CODE;modpx-4.25;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,8.069,module=4.5;sym-QR_CODE;modpx-4.50;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,7.207,module=4.75;sym-QR_CODE;modpx-4.75;img-ok
sw_module-5_1,2stage,1,1,1,0,0,8.037,module=5;sym-QR_CODE;modpx-5.00;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,7.172,module=5.25;sym-QR_CODE;modpx-5.25;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,6.975,module=5.5;sym-QR_CODE;modpx-5.50;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,6.796,module=5.75;sym-QR_CODE;modpx-5.75;img-ok
sw_module-6_1,2stage,1,1,1,0,0,8.669,module=6;sym-QR_CODE;modpx-6.00;img-ok
